Common_Name,Scientific_Name,Taxonomic_Order,Count,State/Province,Location,Latitude,Longitude,Date,Time,Duration_Min,Al_Obs_Reported,Distance_Traveled_km,Number_of_Observers,Observation_Details,Checklist_Comments,year,month,Mes,day_name
Torrent Duck,Merganetta armata,407,1,CO-CAL,Vereda Montaño,4.9880556,-75.4430556,2018-12-01,08:08 AM,240.0,1,6.16,18,Faltante,Faltante,2018,12,Dec,Saturday
Torrent Duck,Merganetta armata,407,3,CO-CAL,Vereda Río Claro,4.997564,-75.551333,2019-11-10,06:00 AM,360.0,1,4.0,17,Faltante,Salida de observación durante el 8 Congreso de aviturismo,2019,11,Nov,Sunday
Blue-winged Teal,Spatula discors,422,1,CO-CAL,Vereda Río Claro,4.997564,-75.551333,2019-11-10,06:00 AM,360.0,1,4.0,17,Faltante,Salida de observación durante el 8 Congreso de aviturismo,2019,11,Nov,Sunday
Colombian Chachalaca,Ortalis columbiana,763,1,CO-CAL,Eco Parque Alcazares Torre Y Comedero,5.067343,-75.528306,2019-12-14,07:28 AM,63.0,1,4.0,8,Faltante,Faltante,2019,12,Dec,Saturday
Andean Guan,Penelope montagnii,782,1,CO-CAL,Hacienda El Bosque,5.0224866,-75.3683513,2019-11-23,06:49 AM,236.0,1,2.3,1,Faltante,Faltante,2019,11,Nov,Saturday
Sickle-winged Guan,Chamaepetes goudotii,829,1,CO-CAL,"Reserva de Castilla - (5,069, -75,504)",5.068917,-75.504489,2018-05-20,01:16 PM,90.0,1,0.42,1,Faltante,Faltante,2018,5,May,Sunday
Sickle-winged Guan,Chamaepetes goudotii,829,1,CO-CAL,"Reserva de Castilla - (5,069, -75,504)",5.068917,-75.504489,2018-05-27,07:15 AM,120.0,1,0.52,1,Faltante,Faltante,2018,5,May,Sunday
Sickle-winged Guan,Chamaepetes goudotii,829,2,CO-CAL,"Reserva de Castilla - (5,069, -75,504)",5.068917,-75.504489,2019-01-05,09:49 AM,87.0,1,0.51,1,Faltante,Faltante,2019,1,Jan,Saturday
Rock Pigeon (Feral Pigeon),Columba livia (Feral Pigeon),1813,2,CO-CAL,"Barrio Santa Helena, Manizales, Caldas, CO (5,07, -75,504)",5.0704775,-75.5044349,2018-11-12,08:53 AM,39.0,1,0.74,1,"Las palomas son aves que se encuentran de forma común en las áreas urbanas de Manizales, se encontraban en pasto de una zona urbana.",Faltante,2018,11,Nov,Monday
Rock Pigeon (Feral Pigeon),Columba livia (Feral Pigeon),1813,5,CO-CAL,"Colegio Semenor Calle 57-70 Carrera 22, Manizales, Caldas, CO (5,062, -75,491)",5.0622958,-75.4911357,2018-11-23,06:45 AM,142.0,1,0.7,5,Esta paloma es común observarla en áreas urbanas de Manizales,Faltante,2018,11,Nov,Friday
Rock Pigeon (Feral Pigeon),Columba livia (Feral Pigeon),1813,6,CO-CAL,"Colegio Semenor Calle 57-70 Carrera 22, Manizales, Caldas, CO (5,062, -75,491)",5.0622958,-75.4911357,2019-04-05,03:25 PM,113.0,1,0.9,1,Esta ave es común encontrarla en el área urbana,Faltante,2019,4,Apr,Friday
Rock Pigeon (Feral Pigeon),Columba livia (Feral Pigeon),1813,11,CO-CAL,"Colegio Semenor Calle 57-70 Carrera 22, Manizales, Caldas, CO (5,062, -75,491)",5.0622958,-75.4911357,2019-05-04,03:08 PM,142.0,0,1.5,7,Es común observar esta ave en el área urbana,Faltante,2019,5,May,Saturday
Rock Pigeon (Feral Pigeon),Columba livia (Feral Pigeon),1813,15,CO-CAL,"Parque De La Mujer 2217 Calle 48b, Manizales, Caldas, CO (5,065, -75,499)",5.0653224,-75.4993135,2018-11-19,10:40 AM,1.0,1,1.5,1,Esta ave es común verla en áreas urbanas,Faltante,2018,11,Nov,Monday
Rock Pigeon (Feral Pigeon),Columba livia (Feral Pigeon),1813,5,CO-CAL,"Reserva Castilla (5,069, -75,505)",5.0688909,-75.5045082,2020-06-05,01:29 PM,21.0,1,0.35,1,Faltante,Faltante,2020,6,Jun,Friday
